Starting calculations for AP-MoS2/MoS2
      Step     Time          Energy         fmax
BFGS:   32 18:22:19 -1905596.949767        0.0061
BFGS:   33 18:22:51 -1905596.949788        0.0072
BFGS:   34 18:23:23 -1905596.949808        0.0059
BFGS:   35 18:23:56 -1905596.949823        0.0034
BFGS:   36 18:24:27 -1905596.949836        0.0047
BFGS:   37 18:24:59 -1905596.949852        0.0065
BFGS:   38 18:25:30 -1905596.949870        0.0074
BFGS:   39 18:26:02 -1905596.949886        0.0046
BFGS:   40 18:26:33 -1905596.949899        0.0026
BFGS:   41 18:27:05 -1905596.949911        0.0042
BFGS:   42 18:27:37 -1905596.949924        0.0065
BFGS:   43 18:28:07 -1905596.949939        0.0059
BFGS:   44 18:28:39 -1905596.949952        0.0027
BFGS:   45 18:29:10 -1905596.949963        0.0026
BFGS:   46 18:29:42 -1905596.949973        0.0046
BFGS:   47 18:30:14 -1905596.949985        0.0056
BFGS:   48 18:30:46 -1905596.949997        0.0040
BFGS:   49 18:31:18 -1905596.950007        0.0028
BFGS:   50 18:31:49 -1905596.950015        0.0028
BFGS:   51 18:32:20 -1905596.950023        0.0043
BFGS:   52 18:32:52 -1905596.950033        0.0042
BFGS:   53 18:33:25 -1905596.950042        0.0036
BFGS:   54 18:33:56 -1905596.950049        0.0019
BFGS:   55 18:34:29 -1905596.950055        0.0030
BFGS:   56 18:35:02 -1905596.950062        0.0034
BFGS:   57 18:35:35 -1905596.950069        0.0032
BFGS:   58 18:36:06 -1905596.950075        0.0022
BFGS:   59 18:36:38 -1905596.950080        0.0019
BFGS:   60 18:37:11 -1905596.950085        0.0024
BFGS:   61 18:37:43 -1905596.950090        0.0031
BFGS:   62 18:38:15 -1905596.950096        0.0028
BFGS:   63 18:38:47 -1905596.950100        0.0018
BFGS:   64 18:39:19 -1905596.950104        0.0014
